               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.021409,            0.034274,           0.0014439,             0.98418,             0.99085,             0.99209,             0.82296,            0.014061,            0.025475,          0.00054761,          0.00087701,          0.00087701,          0.00087701
                 125,            0.020068,            0.035167,           0.0013407,             0.99256,             0.98644,             0.99367,              0.8249,            0.013739,            0.023709,          0.00044717,          0.00087601,          0.00087601,          0.00087601
                 126,            0.020465,            0.032694,           0.0011759,             0.97727,             0.98654,              0.9934,             0.83128,            0.014185,             0.02303,          0.00063945,          0.00087501,          0.00087501,          0.00087501
                 127,            0.023261,            0.031132,           0.0014164,             0.97821,             0.99539,             0.99428,             0.84468,            0.013445,            0.022617,          0.00039957,          0.00087401,          0.00087401,          0.00087401
                 128,            0.022298,            0.032562,           0.0014195,             0.94117,              0.9491,             0.99077,             0.83012,            0.013854,            0.024199,            0.001258,          0.00087301,          0.00087301,          0.00087301
                 129,            0.022261,            0.030767,           0.0015775,             0.98722,             0.96338,             0.99311,             0.83907,            0.013561,            0.024125,          0.00063802,          0.00087201,          0.00087201,          0.00087201
                 130,            0.022071,            0.030269,           0.0015376,             0.95143,             0.94501,             0.99205,              0.8289,            0.014021,            0.022716,           0.0014517,          0.00087101,          0.00087101,          0.00087101
                 131,            0.022198,            0.034152,           0.0014843,             0.96986,             0.98751,              0.9941,             0.82692,            0.013745,            0.024162,          0.00061032,          0.00087001,          0.00087001,          0.00087001
                 132,            0.022223,            0.032511,            0.001573,             0.97576,               0.982,             0.99377,             0.82264,            0.014842,            0.024216,          0.00047688,          0.00086901,          0.00086901,          0.00086901
                 133,            0.022904,            0.033758,           0.0016755,             0.98891,             0.99206,             0.99435,             0.83261,            0.014636,            0.026653,          0.00031235,          0.00086801,          0.00086801,          0.00086801
                 134,            0.022769,             0.03289,           0.0012909,             0.98833,             0.98413,             0.99356,             0.80843,            0.015056,              0.0274,          0.00053624,          0.00086701,          0.00086701,          0.00086701
                 135,            0.023147,            0.034454,             0.00184,             0.98643,             0.98016,             0.99345,             0.82265,            0.014982,            0.026129,          0.00045747,          0.00086601,          0.00086601,          0.00086601
                 136,            0.023468,            0.033759,            0.001884,             0.97973,             0.99206,             0.99404,             0.83783,            0.013571,            0.025101,          0.00037061,          0.00086501,          0.00086501,          0.00086501
                 137,            0.021902,            0.032281,           0.0014064,              0.9913,             0.99206,             0.99431,             0.84001,            0.013423,            0.022788,          0.00034147,          0.00086401,          0.00086401,          0.00086401
                 138,            0.021499,            0.034162,           0.0015115,             0.99152,             0.98739,             0.99445,             0.83288,            0.013997,            0.021818,          0.00039027,          0.00086301,          0.00086301,          0.00086301
                 139,            0.024488,            0.037201,           0.0018987,             0.98708,             0.99525,             0.99473,             0.82919,            0.013669,            0.021995,          0.00033645,          0.00086201,          0.00086201,          0.00086201
                 140,            0.022356,            0.034613,           0.0017572,             0.99245,             0.99223,             0.99469,             0.83075,            0.013853,            0.022021,          0.00032872,          0.00086101,          0.00086101,          0.00086101
                 141,             0.02148,            0.034089,           0.0015511,             0.98969,             0.99206,             0.99475,             0.83367,            0.014595,            0.022903,          0.00025677,          0.00086001,          0.00086001,          0.00086001
                 142,            0.021346,            0.035214,           0.0013172,             0.98861,              0.9881,              0.9943,             0.83181,            0.013605,             0.02424,           0.0003353,          0.00085901,          0.00085901,          0.00085901
                 143,            0.022007,            0.031396,           0.0012045,             0.97576,              0.9881,             0.99367,             0.82837,            0.014736,            0.026433,          0.00063244,          0.00085801,          0.00085801,          0.00085801
                 144,            0.021205,            0.031368,           0.0016376,             0.97228,             0.97717,             0.99335,             0.84631,            0.013206,            0.024507,          0.00055839,          0.00085701,          0.00085701,          0.00085701
                 145,            0.021704,            0.030754,           0.0014541,             0.96616,             0.99456,             0.99309,             0.83147,            0.014407,            0.025993,          0.00049595,          0.00085601,          0.00085601,          0.00085601
                 146,            0.022289,            0.031936,           0.0014757,             0.99099,             0.98646,             0.99329,             0.83855,             0.01526,            0.024708,          0.00045038,          0.00085501,          0.00085501,          0.00085501
                 147,            0.021035,            0.033904,           0.0015158,             0.98187,                   1,             0.99445,             0.84896,            0.014658,            0.023089,          0.00042126,          0.00085401,          0.00085401,          0.00085401
                 148,            0.020773,            0.032473,           0.0016033,             0.98322,             0.99206,             0.99386,             0.84817,            0.013134,            0.022037,          0.00052846,          0.00085301,          0.00085301,          0.00085301
                 149,             0.01958,            0.033057,           0.0013039,             0.97901,             0.99505,             0.99382,             0.84003,            0.013288,            0.022265,          0.00042252,          0.00085201,          0.00085201,          0.00085201
                 150,            0.020361,            0.029573,           0.0013923,             0.98109,             0.99206,             0.99222,             0.84395,            0.013384,            0.022288,          0.00037544,          0.00085101,          0.00085101,          0.00085101
                 151,            0.020341,            0.028407,             0.00129,             0.96432,             0.96286,             0.99096,             0.83559,            0.013315,            0.024718,          0.00097594,          0.00085001,          0.00085001,          0.00085001
                 152,            0.019951,             0.03154,           0.0013851,             0.97049,             0.97619,             0.98988,             0.82176,            0.013992,            0.026734,          0.00073579,          0.00084902,          0.00084902,          0.00084902
                 153,            0.020457,            0.034457,           0.0013892,             0.97899,             0.98926,             0.99196,             0.84113,              0.0142,            0.026768,          0.00033911,          0.00084802,          0.00084802,          0.00084802
                 154,            0.020614,            0.033309,           0.0015609,             0.97586,             0.97072,             0.99091,             0.82067,            0.014491,            0.026691,          0.00075977,          0.00084702,          0.00084702,          0.00084702
                 155,            0.022128,            0.033092,            0.001774,             0.97991,             0.98413,             0.98928,             0.82968,            0.015329,            0.024605,          0.00051539,          0.00084602,          0.00084602,          0.00084602
